127.0.0.1, 2019-08-02 14:41:07, GET, /painel/teste2, HTTP/1.1, 200, 0.013534
127.0.0.1, 2019-08-02 14:41:50, GET, /painel/teste2, HTTP/1.1, 200, 0.014188
127.0.0.1, 2019-08-02 14:41:57, GET, /painel/teste2, HTTP/1.1, 500, 0.200915
127.0.0.1, 2019-08-02 14:42:07, GET, /painel/teste2, HTTP/1.1, 200, 0.012054
127.0.0.1, 2019-08-02 14:42:13, GET, /painel/teste2, HTTP/1.1, 200, 0.011390
127.0.0.1, 2019-08-02 14:42:19, POST, /painel/teste2, HTTP/1.1, 200, 0.029838
127.0.0.1, 2019-08-02 14:45:53, POST, /painel/teste2, HTTP/1.1, 500, 0.037460
127.0.0.1, 2019-08-02 14:46:12, POST, /painel/teste2, HTTP/1.1, 500, 0.024174
127.0.0.1, 2019-08-02 14:47:09, GET, /painel/teste2, HTTP/1.1, 500, 0.030073
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/default/ticket/autorizador/127.0.0.1.2019-08-02.14-47-09.a15bc0b3-4f6c-48f0-bbec-b0bf0ec83b30, HTTP/1.1, 303, 0.436714
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/default, HTTP/1.1, 200, 0.124838
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000351
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001234
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001486
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000470
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000914
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001336
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000725
127.0.0.1, 2019-08-02 14:47:11, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2019-08-02 14:47:12, GET, /favicon.ico, HTTP/1.1, 404, 0.000305
127.0.0.1, 2019-08-02 14:47:14, POST, /admin/default, HTTP/1.1, 303, 0.005809
